,title,views,posted_time
0,Indian TV Serials are Just Unbelievable Now😂 | Triggered Insaan,3.5M views,3 days ago
1,"I Gave Students ₹100,000 on Omegle (Part 2) | Triggered Insaan",5.3M views,2 weeks ago
2,Neha Kakkar's New Song is so Funny,7.1M views,3 weeks ago
3,I'm in Golmaal 5 😂 - Triggered Insaan,4.9M views,1 month ago
4,Bollywood Movies Destroyed Logic & Gravity,7.6M views,1 month ago
5,I Proposed Dhinchak Pooja after Listening Her New Song for Real,10M views,1 month ago
6,"I Gave Students ₹100,000 on Omegle | Triggered Insaan",9.5M views,2 months ago
7,My Best Friend Called Police on Me (Storytime),4.1M views,2 months ago
8,The Greatest Legends of Social Media (ft. Papa),5.6M views,2 months ago
9,Tiger Shroff Roast | Bollywood Roast,8.2M views,2 months ago
10,I Bought My Dream House,9.3M views,2 months ago
11,Omegle is Too Funny | Triggered Insaan,6.4M views,2 months ago
12,Ranveer Singh Photoshoot Memes are Too Funny,6.1M views,3 months ago
13,Try Not To Laugh/ Dare Challenge vs My Sister,8M views,3 months ago
14,Final Reply to Pagalzone,6.6M views,3 months ago
15,DJ Mrinal is Better Than BTS😂,6.8M views,3 months ago
16,Pagalzone Please Delete Your Channel,7.5M views,3 months ago
17,KRK Roasted Me - My Reply to KRK Alien,8.8M views,4 months ago
18,These Indian TV Serials are so Stupid,10M views,4 months ago
19,Laughing at Adnaan 07! Youtube vs TikTok 2.0,9.4M views,4 months ago
20,Panja Challenge with India's Biggest Youtubers - Chaggan Vlogger in Mumbai!!,6.7M views,5 months ago
21,Haunted House in the North East (Storytime),5.6M views,5 months ago
22,Heropanti 2 is the Greatest Movie Ever!!!,11M views,5 months ago
23,Kaun Banega Crorepati (Sasta Edition),6.3M views,6 months ago
24,KRK's Deshdrohi 2 is Better Than KGF 2 | Akshay Kumar Vimal Ad,13M views,6 months ago
25,She Lied To Her Parents and Became All India Topper (Storytime),8.4M views,6 months ago
26,I'm in Bhool Bhulaiya 3 😂 - Chaggan Vlogger Living 24 Hours in Haunted Palace,11M views,6 months ago
27,I Lost Everything because of @Sourav Joshi Vlogs | The Pagal Zone Roast,23M views,6 months ago
28,Thara Bhai Joginder Became My Best Friend😂 after this Todfod,8.5M views,7 months ago
29,Try Not To Laugh Challenge vs My Brother (Dank Memes Edition),15M views,7 months ago
30,These Kacha Badams Need To Be Stopped | Valentines Day Roast,19M views,8 months ago
31,I'm in Dhamaal 4 😂😂 - Chaggan Vlogger Found ₹10 Crore in Goa,9.5M views,9 months ago
32,Becoming a Professional Instagram Reeler | Triggered Insaan,6.5M views,9 months ago
33,I Found The Weirdest 5-Minute Crafts Life Hacks and Actually Tried Them,12M views,9 months ago
34,Funniest Legends of Social Media - This Joker is the Cartoon of Moj,11M views,9 months ago
35,TRUTH or DARE!!! (#4) - Funniest Public Dares with Friends,8M views,10 months ago
36,I'm in Baahubali 3 😂😂 - Chaggan Vlogger in Hyderabad!!!,11M views,10 months ago
37,When Someone Else Gets The Credit For Your Hardwork (Storytime),8.5M views,10 months ago
38,These YT Shorts/Instagram Reelers Need To Be Stopped!!,11M views,10 months ago
39,I Met Thara Bhai Fans in Nainital with Mummy Papa - Chaggan Vlogger OP!!,9.6M views,11 months ago
40,Thara Bhai Joginder Roasted Me - Bawandar Diss Track Reply,36M views,11 months ago
41,Gravity and Logic Ke Dushman !! India vs Pakistan Funniest Action Scenes Ever,10M views,11 months ago
42,Can You Guess The Song By Emojis **Weird**,11M views,11 months ago
43,I Found My Diamond Playbutton in Jaipur - Chaggan Vlogger OP!!!,9.9M views,1 year ago
44,Funniest Indian Bhoots *LOL* 100% Real Ghosts Caught with My Sister,10M views,1 year ago
45,Getting Roasted by India's Biggest Youtubers at Dhindora Shoot,28M views,1 year ago
46,I Topped My Class but Still Got Laughed at (Storytime),9.1M views,1 year ago
47,Tony Kakkar's Kanta Laga is the Greatest Song Ever || Dhinchak Pooja is Better!!,19M views,1 year ago
48,I Found The Funniest Instagram Reels,19M views,1 year ago
49,The Indian Idol Audition (Parody),10M views,1 year ago
50,Can You Solve These Big Brain Riddles **Weird**,17M views,1 year ago
51,Funniest Hairstyles Ever #3,11M views,1 year ago
52,My First Date was Ruined by a Dog (Storytime),8.7M views,1 year ago
53,Thara Bhai Joginder - The END,25M views,1 year ago
54,Funniest Things People GOOGLE About Me😂 (Roasting Myself),10M views,1 year ago
55,Thara Bhai Joginder is the Funniest Instagram Reeler | Fake Helping Pranksters of Facebook,16M views,1 year ago
56,100 BILLION DIRHAM SETUP TOUR RIP,10M views,1 year ago
57,Funniest Bangladeshi Action Scenes #2,12M views,1 year ago
58,I Found The Funniest Songs - Tony Kakkar Special,14M views,1 year ago
59,Sahi Khel Gaya Ladka (Storytime),11M views,1 year ago
