,title,views,posted_time
0,"I Gave Students ₹100,000 on Omegle (Part 2)",3.2M views,2 days ago
1,Neha Kakkar's New Song is so Funny,5.9M views,9 days ago
2,I'm in Golmaal 5 😂 - Triggered Insaan,4.6M views,2 weeks ago
3,Bollywood Movies Destroyed Logic & Gravity,7.3M views,1 month ago
4,I Proposed Dhinchak Pooja after Listening Her New Song for Real,10M views,1 month ago
5,"I Gave Students ₹100,000 on Omegle | Triggered Insaan",9.1M views,1 month ago
6,My Best Friend Called Police on Me (Storytime),4M views,1 month ago
7,Legends of Instagram ft. Papa,5.5M views,1 month ago
8,Tiger Shroff Roast | Bollywood Roast,8M views,2 months ago
9,I Bought My Dream House,9.2M views,2 months ago
10,Omegle is Too Funny | Triggered Insaan,6.2M views,2 months ago
11,Ranveer Singh Photoshoot Memes are Too Funny,6.1M views,2 months ago
12,Try Not To Laugh/ Dare Challenge vs My Sister,7.7M views,2 months ago
13,Final Reply to Pagalzone,6.5M views,3 months ago
14,DJ Mrinal is Better Than BTS😂,6.7M views,3 months ago
15,Pagalzone Please Delete Your Channel,7.4M views,3 months ago
16,KRK Roasted Me - My Reply to KRK Alien,8.7M views,4 months ago
17,These Indian TV Serials are so Stupid,10M views,4 months ago
18,Laughing at Adnaan 07! Youtube vs TikTok 2.0,9.4M views,4 months ago
19,Panja Challenge with India's Biggest Youtubers - Chaggan Vlogger in Mumbai!!,6.6M views,4 months ago
20,Haunted House in the North East (Storytime),5.6M views,4 months ago
21,Heropanti 2 is the Greatest Movie Ever!!!,11M views,5 months ago
22,Kaun Banega Crorepati (Sasta Edition),6.2M views,5 months ago
23,KRK's Deshdrohi 2 is Better Than KGF 2 | Akshay Kumar Vimal Ad,13M views,5 months ago
24,She Lied To Her Parents and Became All India Topper (Storytime),8.4M views,6 months ago
25,I'm in Bhool Bhulaiya 3 😂 - Chaggan Vlogger Living 24 Hours in Haunted Palace,11M views,6 months ago
26,I Lost Everything because of @Sourav Joshi Vlogs | The Pagal Zone Roast,23M views,6 months ago
27,Thara Bhai Joginder Became My Best Friend😂 after this Todfod,8.5M views,7 months ago
28,Try Not To Laugh Challenge vs My Brother (Dank Memes Edition),15M views,7 months ago
29,Sasta Shark Tank😂 - “Chaddi Ki Company” #shorts #shortvideo,6.2M views,7 months ago
30,These Kacha Badams Need To Be Stopped | Valentines Day Roast,19M views,8 months ago
31,I'm in Dhamaal 4 😂😂 - Chaggan Vlogger Found ₹10 Crore in Goa,9.5M views,8 months ago
32,Becoming a Professional Instagram Reeler | Triggered Insaan,6.5M views,8 months ago
33,I Found The Weirdest 5-Minute Crafts Life Hacks and Actually Tried Them,12M views,9 months ago
34,Funniest Legends of Social Media - This Joker is the Cartoon of Moj,11M views,9 months ago
35,TRUTH or DARE!!! (#4) - Funniest Public Dares with Friends,8M views,9 months ago
